FEDNUM,Riding,Party
59001,Abbotsford,Conservative
24001,Abitibi—Baie-James—Nunavik—Eeyou,Bloc Québécois
24002,Abitibi—Témiscamingue,Bloc Québécois
13001,Acadie—Bathurst,Liberal
24003,Ahuntsic-Cartierville,Liberal
35001,Ajax,Liberal
24004,Alfred-Pellan,Liberal
35002,Algoma—Manitoulin—Kapuskasing,NDP
24005,Argenteuil—La Petite-Nation,Liberal
35003,Aurora—Oak Ridges—Richmond Hill,Conservative
10001,Avalon,Liberal
24006,Avignon—La Mitis—Matane—Matapédia,Bloc Québécois
48001,Banff—Airdrie,Conservative
35004,Barrie—Innisfil,Conservative
35005,Barrie—Springwater—Oro-Medonte,Conservative
48002,Battle River—Crowfoot,Conservative
47001,Battlefords—Lloydminster,Conservative
35006,Bay of Quinte,Liberal
35007,Beaches—East York,Liberal
24007,Beauce,Conservative
24020,Beauport—Côte-de-Beaupré—Île d'Orléans—Charlevoix,Bloc Québécois
24008,Beauport—Limoilou,Bloc Québécois
13002,Beauséjour,Liberal
24009,Bécancour—Nicolet—Saurel,Bloc Québécois
24010,Bellechasse—Les Etchemins—Lévis,Conservative
24011,Beloeil—Chambly,Bloc Québécois
24012,Berthier—Maskinongé,Bloc Québécois
10002,Bonavista—Burin—Trinity,Liberal
24015,Bourassa,Liberal
48003,Bow River,Conservative
35008,Brampton Centre,Independent
35009,Brampton East,Liberal
35010,Brampton North,Liberal
35011,Brampton South,Liberal
35012,Brampton West,Liberal
46001,Brandon—Souris,Conservative
35013,Brantford—Brant,Conservative
24016,Brome—Missisquoi,Liberal
24017,Brossard—Saint-Lambert,Liberal
35014,Bruce—Grey—Owen Sound,Conservative
35015,Burlington,Liberal
59002,Burnaby North—Seymour,Liberal
59003,Burnaby South,NDP
48004,Calgary Centre,Conservative
48005,Calgary Confederation,Conservative
48006,Calgary Forest Lawn,Conservative
48007,Calgary Heritage,Conservative
48008,Calgary Midnapore,Conservative
48009,Calgary Nose Hill,Conservative
48010,Calgary Rocky Ridge,Conservative
48011,Calgary Shepard,Conservative
48012,Calgary Signal Hill,Conservative
48013,Calgary Skyview,Conservative
35016,Cambridge,Liberal
12001,Cape Breton—Canso,Liberal
11001,Cardigan,Liberal
59004,Cariboo—Prince George,Conservative
35088,Carleton,Conservative
47004,Carlton Trail—Eagle Creek,Conservative
12002,Central Nova,Liberal
59005,Central Okanagan—Similkameen—Nicola,Conservative
24019,Charlesbourg—Haute-Saint-Charles,Conservative
46002,Charleswood—St. James—Assiniboia—Headingley,Conservative
11002,Charlottetown,Liberal
24021,Châteauguay—Lacolle,Liberal
35017,Chatham-Kent—Leamington,Conservative
24022,Chicoutimi—Le Fjord,Conservative
59006,Chilliwack—Hope,Conservative
46003,Churchill—Keewatinook Aski,NDP
59007,Cloverdale—Langley City,Conservative
10003,Coast of Bays—Central—Notre Dame,Liberal
24023,Compton—Stanstead,Liberal
59008,Coquitlam—Port Coquitlam,Liberal
59009,Courtenay—Alberni,NDP
59010,Cowichan—Malahat—Langford,NDP
12003,Cumberland—Colchester,Liberal
47002,Cypress Hills—Grasslands,Conservative
12004,Dartmouth—Cole Harbour,Liberal
46004,Dauphin—Swan River—Neepawa,Conservative
35018,Davenport,Liberal
59011,Delta,Liberal
47003,Desnethé—Missinippi—Churchill River,Conservative
35019,Don Valley East,Independent
35020,Don Valley North,Liberal
35021,Don Valley West,Liberal
24024,Dorval—Lachine—LaSalle,Liberal
24025,Drummond,Bloc Québécois
35022,Dufferin—Caledon,Conservative
35023,Durham,Conservative
48014,Edmonton Centre,Conservative
48015,Edmonton Griesbach,Conservative
48016,Edmonton Manning,Conservative
48017,Edmonton Mill Woods,Conservative
48018,Edmonton Riverbend,Conservative
48019,Edmonton Strathcona,NDP
48020,Edmonton West,Conservative
48021,Edmonton—Wetaskiwin,Conservative
35024,Eglinton—Lawrence,Liberal
11003,Egmont,Liberal
35025,Elgin—Middlesex—London,Conservative
46005,Elmwood—Transcona,NDP
59026,Esquimalt—Saanich—Sooke,NDP
35026,Essex,Conservative
35027,Etobicoke Centre,Liberal
35029,Etobicoke North,Liberal
35028,Etobicoke—Lakeshore,Liberal
35030,Flamborough—Glanbrook,Conservative
59012,Fleetwood—Port Kells,Liberal
48022,Foothills,Conservative
48023,Fort McMurray—Cold Lake,Conservative
13003,Fredericton,Liberal
13004,Fundy Royal,Conservative
24026,Gaspésie—Les Îles-de-la-Madeleine,Liberal
24027,Gatineau,Liberal
35031,Glengarry—Prescott—Russell,Liberal
48024,Grande Prairie—Mackenzie,Conservative
35032,Guelph,Liberal
35033,Haldimand—Norfolk,Vacant
35034,Haliburton—Kawartha Lakes—Brock,Conservative
12005,Halifax,Liberal
12006,Halifax West,Liberal
35035,Hamilton Centre,NDP
35036,Hamilton East—Stoney Creek,Liberal
35037,Hamilton Mountain,NDP
35038,Hamilton West—Ancaster—Dundas,Liberal
35039,Hastings—Lennox and Addington,Independent
24028,Hochelaga,Liberal
24029,Honoré-Mercier,Liberal
24030,Hull—Aylmer,Liberal
35121,Humber River—Black Creek,Liberal
35040,Huron—Bruce,Conservative
24031,Joliette,Bloc Québécois
24032,Jonquière,Bloc Québécois
59013,Kamloops—Thompson—Cariboo,Conservative
35041,Kanata—Carleton,Liberal
59014,Kelowna—Lake Country,Conservative
35042,Kenora,Conservative
46006,Kildonan—St. Paul,Conservative
35043,King—Vaughan,Liberal
