FEDNUM,Riding,Party,Vote
48016,Edmonton Manning,Conservative,True
35082,Parry Sound—Muskoka,Conservative,True
59005,Central Okanagan—Similkameen—Nicola,Conservative,True
35058,Mississauga Centre,Liberal,False
35003,Aurora—Oak Ridges—Richmond Hill,Conservative,True
35068,Niagara West,Conservative,True
35072,Oakville,Liberal,False
35097,Scarborough—Rouge Park,Liberal,False
35107,Timmins—James Bay,NDP,True
59020,North Okanagan—Shuswap,Conservative,True
13005,Madawaska—Restigouche,Liberal,False
35064,Nepean,Liberal,False
46003,Churchill—Keewatinook Aski,NDP,True
13003,Fredericton,Green Party,True
59028,Skeena—Bulkley Valley,NDP,True
35066,Niagara Centre,Liberal,False
60001,Yukon,Liberal,False
35062,Mississauga—Malton,Liberal,False
35027,Etobicoke Centre,Liberal,False
35067,Niagara Falls,Conservative,True
48022,Foothills,Conservative,True
35050,Leeds—Grenville—Thousand Islands and Rideau Lakes,Conservative,True
24014,Pierre-Boucher—Les Patriotes—Verchères,Bloc Québécois,True
12010,Sydney—Victoria,Liberal,False
24033,La Pointe-de-l'Île,Bloc Québécois,True
59002,Burnaby North—Seymour,Liberal,False
24054,Outremont,Liberal,False
48007,Calgary Heritage,Conservative,True
46007,Portage—Lisgar,Conservative,True
24049,Montarville,Bloc Québécois,True
24047,Mégantic—L'Érable,Conservative,True
24001,Abitibi—Baie-James—Nunavik—Eeyou,Bloc Québécois,True
24016,Brome—Missisquoi,Liberal,False
46010,Selkirk—Interlake—Eastman,Conservative,True
24023,Compton—Stanstead,Liberal,False
35089,St. Catharines,Liberal,False
46005,Elmwood—Transcona,NDP,True
35098,Scarborough Southwest,Liberal,False
24011,Beloeil—Chambly,Bloc Québécois,True
24018,Rimouski-Neigette—Témiscouata—Les Basques,Bloc Québécois,True
24010,Bellechasse—Les Etchemins—Lévis,Conservative,True
59037,North Island—Powell River,NDP,True
47004,Carlton Trail—Eagle Creek,Conservative,True
12007,Kings—Hants,Liberal,False
24075,Terrebonne,Bloc Québécois,True
24064,Rosemont—La Petite-Patrie,NDP,True
13010,Tobique—Mactaquac,Conservative,True
35004,Barrie—Innisfil,Conservative,True
35036,Hamilton East—Stoney Creek,Liberal,False
24073,Sherbrooke,Liberal,False
24035,Lac-Saint-Jean,Bloc Québécois,True
48030,Red Deer—Lacombe,Conservative,True
59029,South Okanagan—West Kootenay,NDP,True
46014,Winnipeg South Centre,Liberal,False
35074,Oshawa,Conservative,True
11002,Charlottetown,Liberal,False
24013,Thérèse-De Blainville,Bloc Québécois,True
35112,Waterloo,Liberal,False
24070,Saint-Maurice—Champlain,Liberal,False
24025,Drummond,Bloc Québécois,True
24076,Trois-Rivières,Bloc Québécois,True
35096,Scarborough North,Liberal,False
59031,Steveston—Richmond East,Conservative,True
35113,Wellington—Halton Hills,Conservative,True
48031,St. Albert—Edmonton,Conservative,True
13001,Acadie—Bathurst,Liberal,False
48014,Edmonton Centre,Conservative,True
35109,Toronto—Danforth,Liberal,False
59022,Pitt Meadows—Maple Ridge,Conservative,True
35073,Oakville North—Burlington,Liberal,False
46006,Kildonan—St. Paul,Conservative,True
35119,York—Simcoe,Conservative,True
59038,Vancouver Kingsway,NDP,True
24071,Salaberry—Suroît,Bloc Québécois,True
24045,Louis-Saint-Laurent,Conservative,True
12011,West Nova,Conservative,True
24020,Beauport—Côte-de-Beaupré—Île d'Orléans—Charlevoix,Bloc Québécois,True
24062,Rivière-des-Mille-Îles,Bloc Québécois,True
59033,Surrey—Newton,Liberal,False
24024,Dorval—Lachine—LaSalle,Liberal,False
48015,Edmonton Griesbach,Conservative,True
59004,Cariboo—Prince George,Conservative,True
35020,Don Valley North,Liberal,False
35099,Simcoe—Grey,Conservative,True
48029,Red Deer—Mountain View,Conservative,True
35031,Glengarry—Prescott—Russell,Liberal,False
24015,Bourassa,Liberal,False
24059,Québec,Liberal,False
46013,Winnipeg South,Liberal,False
35029,Etobicoke North,Liberal,False
35102,Stormont—Dundas—South Glengarry,Conservative,True
35037,Hamilton Mountain,NDP,True
35018,Davenport,Liberal,False
11004,Malpeque,Liberal,False
35115,Willowdale,Liberal,False
24040,Laval—Les Îles,Liberal,False
35006,Bay of Quinte,Liberal,False
35017,Chatham-Kent—Leamington,Conservative,True
35007,Beaches—East York,Liberal,False
46008,Provencher,Conservative,True
47001,Battlefords—Lloydminster,Conservative,True
59001,Abbotsford,Conservative,True
24030,Hull—Aylmer,Liberal,False
12005,Halifax,Liberal,False
59030,South Surrey—White Rock,Conservative,True
13006,Miramichi—Grand Lake,Liberal,False
12004,Dartmouth—Cole Harbour,Liberal,False
35059,Mississauga East—Cooksville,Liberal,False
35078,Ottawa—Vanier,Liberal,False
24063,Rivière-du-Nord,Bloc Québécois,True
35052,London North Centre,Liberal,False
12002,Central Nova,Liberal,False
35110,University—Rosedale,Liberal,False
59034,Vancouver Centre,Liberal,False
35086,Renfrew—Nipissing—Pembroke,Conservative,True
24053,Notre-Dame-de-Grâce—Westmount,Liberal,False
59026,Esquimalt—Saanich—Sooke,NDP,True
24038,Laurentides—Labelle,Bloc Québécois,True
46011,Winnipeg Centre,NDP,True
24051,Montmagny—L'Islet—Kamouraska—Rivière-du-Loup,Conservative,True
48032,Sherwood Park—Fort Saskatchewan,Conservative,True
35044,Kingston and the Islands,Liberal,False
24046,Manicouagan,Bloc Québécois,True
35091,Sarnia—Lambton,Conservative,True
24058,Portneuf—Jacques-Cartier,Conservative,True
35015,Burlington,Liberal,False
24042,Lévis—Lotbinière,Conservative,True
59014,Kelowna—Lake Country,Conservative,True
35035,Hamilton Centre,NDP,True
24039,Laurier—Sainte-Marie,Liberal,False
35106,Thunder Bay—Superior North,Liberal,False
48006,Calgary Forest Lawn,Conservative,True
48026,Lethbridge,Conservative,True
59012,Fleetwood—Port Kells,Liberal,False
10006,St. John's East,NDP,True
47006,Prince Albert,Conservative,True
35001,Ajax,Liberal,False
24052,Mount Royal,Liberal,False
35002,Algoma—Manitoulin—Kapuskasing,NDP,True
35120,York South—Weston,Liberal,False
10005,Long Range Mountains,Liberal,False
24004,Alfred-Pellan,Liberal,False
35108,Toronto Centre,Liberal,False
35054,Markham—Stouffville,Liberal,False
59007,Cloverdale—Langley City,Conservative,True
48018,Edmonton Riverbend,Conservative,True
59009,Courtenay—Alberni,NDP,True
24003,Ahuntsic-Cartierville,Liberal,False
10004,Labrador,Liberal,False
12009,South Shore—St. Margarets,Liberal,False
35087,Richmond Hill,Liberal,False
59019,New Westminster—Burnaby,NDP,True
12001,Cape Breton—Canso,Liberal,False
48010,Calgary Rocky Ridge,Conservative,True
35104,Thornhill,Conservative,True
35060,Mississauga—Erin Mills,Liberal,False
35012,Brampton West,Liberal,False
47013,Souris—Moose Mountain,Conservative,True
48011,Calgary Shepard,Conservative,True
24078,Vimy,Liberal,False
47009,Regina—Wascana,Conservative,True
48002,Battle River—Crowfoot,Conservative,True
48008,Calgary Midnapore,Conservative,True
35116,Windsor—Tecumseh,Liberal,False
59035,Vancouver East,NDP,True
48021,Edmonton—Wetaskiwin,Conservative,True
35076,Orléans,Liberal,False
24068,Saint-Laurent,Liberal,False
46012,Winnipeg North,Liberal,False
24072,Shefford,Bloc Québécois,True
24069,Saint-Léonard—Saint-Michel,Liberal,False
24005,Argenteuil—La Petite-Nation,Liberal,False
35071,Northumberland—Peterborough South,Conservative,True
13002,Beauséjour,Liberal,False
24026,Gaspésie—Les Îles-de-la-Madeleine,Liberal,False
35103,Sudbury,Liberal,False
24007,Beauce,Conservative,True
24002,Abitibi—Témiscamingue,Bloc Québécois,True
35026,Essex,Conservative,True
48012,Calgary Signal Hill,Conservative,True
24044,Louis-Hébert,Liberal,False
48033,Sturgeon River—Parkland,Conservative,True
35040,Huron—Bruce,Conservative,True
13009,Saint John—Rothesay,Liberal,False
35032,Guelph,Liberal,False
35046,Kitchener—Conestoga,Liberal,False
